ward,item,location,cost
1,Alley Resurfacing Menu (1-1) (2019),W FULLERTON AVE &  N WESTERN AVE&N ARTESIAN AVE &  W ALTGELD ST; 2440 N WESTERN AVE,"$26,096.08"
1,Alley Resurfacing Menu (1-1) (2019),W OHIO ST &  N DAMEN AVE&W RACE AVE &  N WOLCOTT AVE,"$17,652.50"
1,Alley Resurfacing Menu (2019),1400 N CAMPBELL AVE; N CAMPBELL AVE &  W LE MOYNE ST&W HIRSCH ST &  N MAPLEWOOD AVE,"$42,062.50"
1,Alley Resurfacing Menu (2019),2426 W NORTH AVE; W NORTH AVE &  N ARTESIAN AVE&N WESTERN AVE &  W WABANSIA AVE,"$49,754.75"
1,Alley Resurfacing Menu (2019),2726 W CHANAY ST; W CHANAY ST &  N POINT ST,"$11,142.29"
1,Alley Resurfacing Menu (2019),2727 W CHANAY ST; W JULIA CT &  N STAVE ST&N STAVE ST &  W ST HELEN ST,"$17,897.62"
1,Alley Resurfacing Menu (2019),3221 W ARMITAGE AVE; W ARMITAGE AVE &  N KEDZIE AVE&N SAWYER AVE &  W CORTLAND ST,"$52,544.93"
1,Alley Resurfacing Menu (2019),N ARTESIAN AVE &  W WABANSIA AVE&W NORTH AVE &  N CAMPBELL AVE; 1614 N ARTESIAN AVE,"$57,355.82"
1,Alley Resurfacing Menu (2019),N ROCKWELL ST &  W CORTLAND ST&N TALMAN AVE &  W BLOOMINGDALE AVE,"$70,987.02"
1,Alley Resurfacing Menu (2019),N WHIPPLE ST &  W BLOOMINGDALE AVE&N HUMBOLDT BLVD W &  W CORTLAND ST,"$30,312.28"
1,Alley Resurfacing Menu (2019),W CORTEZ ST &  N CALIFORNIA AVE&N WASHTENAW AVE &  W THOMAS ST; 2700 W CORTEZ ST,"$54,835.03"
1,Alley Speed Hump Replacement (2019),1400 N CAMPBELL AVE; N CAMPBELL AVE &  W LE MOYNE ST&W HIRSCH ST &  N MAPLEWOOD AVE,$0.00
1,Alley Speed Hump Replacement (2019),3221 W ARMITAGE AVE; W ARMITAGE AVE &  N KEDZIE AVE&N SAWYER AVE &  W CORTLAND ST,$0.00
1,Alley Speed Hump Replacement (2019),N ARTESIAN AVE &  W WABANSIA AVE&W NORTH AVE &  N CAMPBELL AVE; 1614 N ARTESIAN AVE,$0.00
1,Alley Speed Hump Replacement (2019),W CORTEZ ST &  N CALIFORNIA AVE&N WASHTENAW AVE &  W THOMAS ST; 2700 W CORTEZ ST,$0.00
1,Alley Speed Hump Replacement (2019),W FULLERTON AVE &  N WESTERN AVE&N ARTESIAN AVE &  W ALTGELD ST; 2440 N WESTERN AVE,$0.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",N CALIFORNIA AVE &  W ALTGELD ST,$600.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",N CALIFORNIA AVE &  W PALMER ST,$350.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",N CALIFORNIA AVE &  W SHAKESPEARE AVE,$350.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",N DAMEN AVE &  W EVERGREEN AVE,$600.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",N DAMEN AVE &  W HURON ST,$600.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",N DAMEN AVE &  W LE MOYNE ST,"$1,200.00"
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",N MILWAUKEE AVE &  N HONORE ST,$700.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",N MILWAUKEE AVE &  N WASHTENAW AVE,$350.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",N MILWAUKEE AVE &  W MEDILL AVE,$350.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",W AUGUSTA BLVD &  N PAULINA ST,$350.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",W DIVISION ST &  N HOYNE AVE,$350.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",W DIVISION ST &  N PAULINA ST,$350.00
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2019)",W DIVISION ST &  N WOLCOTT AVE,$350.00
1,LPR Reader: 1899 N MOZART,1900 N MOZART ST,"$30,431.35"
