ward,item,location,cost
1,Alley Resurfacing Menu (1-1) (2020),W ARMITAGE AVE &  N LAWNDALE AVE&N MONTICELLO AVE &  W CORTLAND ST,"$46,772.18"
1,Alley Resurfacing Menu (2020),N ASHLAND AVE &  N MILWAUKEE AVE&W BLACKHAWK ST &  N PAULINA ST; 1244 N ASHLAND AVE,"$15,421.71"
1,Alley Resurfacing Menu (2020),N RICHMOND ST &  W WABANSIA AVE&W BLOOMINGDALE AVE &  N FRANCISCO AVE,"$30,377.56"
1,Alley Resurfacing Menu (2020),N WOOD ST &  W AUGUSTA BLVD&W CORTEZ ST &  N HERMITAGE AVE,"$43,079.06"
1,Alley Resurfacing Menu (2020),N WOOD ST &  W GRAND AVE&W OHIO ST &  N HARTLAND CT,"$18,405.60"
1,Alley Resurfacing Menu (2020),W CHICAGO AVE &  N WOOD ST&N HERMITAGE AVE &  W PEARSON ST,"$29,975.41"
1,Alley Speed Hump Replacement (2020),N WOOD ST &  W AUGUSTA BLVD&W CORTEZ ST &  N HERMITAGE AVE,$0.00
1,Alley Speed Hump Replacement (2020),W ARMITAGE AVE &  N LAWNDALE AVE&N MONTICELLO AVE &  W CORTLAND ST,$0.00
1,Alley Speed Hump Replacement (2020),W CHICAGO AVE &  N WOOD ST&N HERMITAGE AVE &  W PEARSON ST,$0.00
1,Arterial Street Bump Outs Menu (2020),W ARMITAGE AVE &  N WASHTENAW AVE,"$50,000.00"
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2020)",N CALIFORNIA AVE &  W ALTGELD ST,$600.00
1,Maplewood Park Field House,1640 N MAPLEWOOD AVE,"$75,559.51"
1,Pedestrian Refuge Island Menu (2020),N ASHLAND AVE &  W CHESTNUT ST,"$27,528.19"
1,Sidewalk Menu (2020),1709 N FRANCISCO AVE,"$5,304.04"
1,Sidewalk Menu (2020),1713 N RICHMOND ST,"$3,198.96"
1,Sidewalk Menu (2020),2546 W HOMER ST,"$28,940.47"
1,Sidewalk Menu (2020),516 N HERMITAGE AVE,"$6,046.76"
1,Sidewalk Menu (2020),N BISHOP ST &  W FRY ST,"$25,953.18"
1,Sidewalk Menu (2020),N CALIFORNIA AVE &  W MEDILL AVE,"$16,000.00"
1,Sidewalk Menu (2020),W WABANSIA AVE &  N MOZART ST,"$14,490.00"
1,Street Resurfacing Menu (1-5) (2020),ON N LEAVITT ST FROM W DIVISION ST  (1200 N) TO W NORTH AVE  (1600 N),"$71,680.94"
1,Street Resurfacing Menu (1-5) (2020),ON W HURON ST FROM N PAULINA ST  (1700 W) TO N WOOD ST  (1800 W),"$71,245.84"
1,Street Resurfacing Menu (2020),ON N ADA ST FROM W HURON ST  (700 N) TO W CHICAGO AVE  (800 N),"$51,349.92"
1,Street Resurfacing Menu (2020),ON N FAIRFIELD AVE FROM 2416 N TO W ALTGELD ST  (2500 N),"$55,178.50"
1,Street Resurfacing Menu (2020),ON N HOYNE AVE FROM W PIERCE AVE  (1540 N) TO W NORTH AVE  (1600 N),"$32,783.80"
1,Street Resurfacing Menu (2020),ON N WASHTENAW AVE FROM W BELDEN AVE  (2300 N) TO N MILWAUKEE AVE  (2260 N),"$45,356.94"
1,Street Resurfacing Menu (2020),ON W BLOOMINGDALE AVE FROM N ST LOUIS AVE  (3500 W) TO N CENTRAL PARK AVE  (3600 W),"$55,973.36"
1,Street Resurfacing Menu (2020),ON W CHESTNUT ST FROM N NOBLE ST  (1400 W) TO N GREENVIEW AVE  (1500 W),"$25,036.19"
1,Street Resurfacing Menu (2020),ON W CORTLAND ST FROM N KEDZIE AVE  (3200 W) TO N SAWYER AVE  (3232 W),"$34,112.22"
1,Street Resurfacing Menu (2020),ON W DICKENS AVE FROM N CALIFORNIA AVE  (2800 W) TO N MOZART ST  (2840 W),"$29,875.62"
1,Street Resurfacing Menu (2020),ON W ERIE ST FROM N WOOD ST  (1800 W) TO N WOLCOTT AVE  (1900 W),"$88,535.52"
1,Street Resurfacing Menu (2020),ON W EVERGREEN AVE FROM N MILWAUKEE AVE  (1800 W) TO W SCHILLER ST  (1900 W),"$30,845.99"
1,Street Resurfacing Menu (2020),ON W HURON ST FROM N ASHLAND AVE  (1600 W) TO N PAULINA ST  (1700 W),"$62,814.62"
1,Street Resurfacing Menu (2020),ON W LE MOYNE DR FROM N CLAREMONT AVE  (2330 W) TO N WESTERN AVE  (2400 W),"$23,348.57"
1,Street Resurfacing Menu (2020),ON W LYNDALE ST FROM N TALMAN AVE  (2630 W) TO N WASHTENAW AVE  (2700 W),"$36,419.01"
1,Street Resurfacing Menu (2020),ON W MOFFAT ST FROM N CAMPBELL AVE  (2500 W) TO N ROCKWELL ST  (2600 W),"$51,920.37"
1,Street Resurfacing Menu (2020),ON W MONTANA ST FROM N OAKLEY AVE  (2300 W) TO N WESTERN AVE  (2400 W),"$58,471.32"
1,Street Resurfacing Menu (2020),ON W OHIO ST FROM N BISHOP ST  (1440 W) TO N ARMOUR ST  (1500 W),"$52,698.64"
1,Street Speed Hump Menu (2020),2044 W SCHILLER ST; ON W SCHILLER ST FROM N DAMEN AVE  (2000 W) TO N HOYNE AVE (2100 W),"$4,700.00"
1,Street Speed Hump Replacement (2020),ON N LEAVITT ST FROM W DIVISION ST  (1200 N) TO W NORTH AVE  (1600 N),$0.00
1,Street Speed Hump Replacement (2020),ON W ERIE ST FROM N WOOD ST  (1800 W) TO N WOLCOTT AVE  (1900 W),$0.00
1,Street Speed Hump Replacement (2020),ON W HURON ST FROM N ASHLAND AVE  (1600 W) TO N PAULINA ST  (1700 W),$0.00
1,Street Speed Hump Replacement (2020),ON W HURON ST FROM N PAULINA ST  (1700 W) TO N WOOD ST  (1800 W),$0.00
2,1 POD Camera: N Dearborn & W Division,N DEARBORN ST &  W DIVISION ST,"$24,776.00"
2,"2 LPR on Existing Poles: Chicago & LSD, Chicago & LSD",N LAKE SHORE DR &  E CHICAGO AVE,"$21,942.00"
2,360 POD Camera Retrofit - Fullerton & Lakewood,W FULLERTON AVE &  N LAKEWOOD AVE,"$5,549.20"
2,Alley Apron Menu (2020),2100 N MAGNOLIA AVE; N MAGNOLIA AVE &  W DICKENS AVE&W WEBSTER AVE &  N LAKEWOOD AVE,"$50,096.49"
2,Alley Resurfacing Menu (1-1) (2020),2100 N MAGNOLIA AVE; N MAGNOLIA AVE &  W DICKENS AVE&W WEBSTER AVE &  N LAKEWOOD AVE,"$4,001.90"
2,Alley Resurfacing Menu (2020),W FULLERTON AVE &  N LAKEWOOD AVE&N WAYNE AVE &  W BELDEN AVE,"$15,842.16"
2,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2020)",176 E CHESTNUT ST,$700.00
2,"In-Road ""State Law Stop For Pedestrians"" Signs Menu (2020)",W FULLERTON AVE &  N LAKEWOOD AVE,$700.00
2,Left-Turn Arrow Menu (2020),E CHICAGO AVE &  N MIES VAN DER ROHE WAY,"$60,412.22"
2,Miscellaneous CDOT Projects (2020),N CLARK ST &  W DELAWARE PL,"$20,000.00"
2,Seneca Park Playlot Improvement,220 E CHICAGO AVE,"$197,000.00"
2,Street Bump Outs Menu (2020),E DELAWARE PL &  N MICHIGAN AVE,"$22,000.00"
2,Street Light Arterial Menu (2020),ON E PEARSON ST FROM N MICHIGAN AVE  (150 E) TO N LAKE SHORE DR  (300 E),"$345,000.00"
2,Street Light Pole Painting Menu (2020),ON N MICHIGAN AVE FROM E SUPERIOR ST  (730 N) TO E OAK ST  (1000 N),"$12,625.00"
2,Street Light Upgrade Menu (2020),1110 N STATE ST; 1030 N STATE ST,"$1,000.00"
2,Street Light Upgrade Menu (2020),2512 N SOUTHPORT AVE; 2506 N SOUTHPORT AVE,"$1,000.00"
2,Street Resurfacing Menu (1-5) (2020),ON N GREENVIEW AVE FROM W FULLERTON AVE  (2400 N) TO W WRIGHTWOOD AVE  (2600 N),"$65,968.39"
2,Street Resurfacing Menu (1-5) (2020),ON N LEAVITT ST FROM W DIVISION ST  (1200 N) TO W NORTH AVE  (1600 N),"$117,648.02"
2,Street Resurfacing Menu (2020),ON N BOSWORTH AVE FROM W LE MOYNE ST  (1500 N) TO W BLACKHAWK ST  (1400 N),"$7,245.00"
2,Street Resurfacing Menu (2020),ON N GREENVIEW AVE FROM N CLYBOURN AVE  (2250 N) TO W FULLERTON AVE  (2400 N),"$80,255.57"
2,Street Resurfacing Menu (2020),ON N NOBLE ST FROM W AUGUSTA BLVD  (1000 N) TO N MILWAUKEE AVE  (1060 N),"$5,600.00"
2,Street Resurfacing Menu (2020),ON N WINCHESTER AVE FROM W THOMAS ST  (1100 N) TO W DIVISION ST  (1200 N),"$40,126.76"
2,Street Resurfacing Menu (2020),ON N WOLCOTT AVE FROM W AUGUSTA BLVD  (1000 N) TO W THOMAS ST  (1100 N),"$73,105.81"
2,Street Resurfacing Menu (2020),ON W BELDEN AVE FROM N LAKEWOOD AVE  (1300 W) TO N SOUTHPORT AVE  (1399 W),"$60,210.65"
2,Street Resurfacing Menu (2020),ON W EVERGREEN AVE FROM N ADA ST  (1350 W) TO N NOBLE ST  (1400 W),"$20,942.08"
2,Street Resurfacing Menu (2020),ON W LE MOYNE DR FROM N HOYNE AVE  (2100 W) TO N LEAVITT ST  (2200 W),"$55,276.13"
2,Street Speed Hump Menu (2020),ON N BOSWORTH AVE FROM W LE MOYNE ST  (1500 N) TO W NORTH AVE  (1600 N); 1500 N BOSWORTH AVE,"$4,700.00"
2,Street Speed Hump Menu (2020),ON N MAGNOLIA AVE FROM N CLYBOURN AVE  (2000 N) TO W DICKENS AVE  (2100 N),"$1,567.61"
2,Street Speed Hump Menu (2020),ON W DICKENS AVE FROM N RACINE AVE  (1200 W) TO N LAKEWOOD AVE  (1300 W),"$4,700.00"
2,Street Speed Hump Replacement (2020),ON N GREENVIEW AVE FROM W FULLERTON AVE  (2400 N) TO W WRIGHTWOOD AVE  (2600 N),$0.00
2,Street Speed Hump Replacement (2020),ON N LEAVITT ST FROM W DIVISION ST  (1200 N) TO W NORTH AVE  (1600 N),$0.00
2,Street Speed Hump Replacement (2020),ON N WOLCOTT AVE FROM W AUGUSTA BLVD  (1000 N) TO W THOMAS ST  (1100 N),$0.00
3,Alley Resurfacing Menu (1-1) (2020),E 44TH ST &  S VINCENNES AVE&E 44TH PL &  S ST LAWRENCE AVE,"$15,846.77"
3,Alley Resurfacing Menu (2020),221 E 51ST ST,"$22,512.15"
3,Alley Resurfacing Menu (2020),E 37TH ST &  S CALUMET AVE&E 37TH ST &  S GILES AVE,"$37,645.26"
3,Alley Resurfacing Menu (2020),E 41ST ST &  S DR MARTIN LUTHER KING JR DR E&E BOWEN AVE &  S DR MARTIN LUTHER KING JR DR E,"$47,335.53"
3,Alley Resurfacing Menu (2020),E 43RD ST &  S CALUMET AVE&S DR MARTIN LUTHER KING JR DR &  E 44TH ST,"$32,209.26"
3,Alley Resurfacing Menu (2020),E 43RD ST &  S WABASH AVE&S MICHIGAN AVE &  E 44TH ST,"$52,867.01"
3,Alley Resurfacing Menu (2020),E 44TH ST &  S DR MARTIN LUTHER KING JR DR E&E 45TH ST &  S CALUMET AVE,"$42,260.89"
3,Alley Resurfacing Menu (2020),E 51ST ST &  S MICHIGAN AVE&S INDIANA AVE &  E 52ND ST,"$49,610.38"
3,Alley Resurfacing Menu (2020),E 53RD ST &  S INDIANA AVE&S PRAIRIE AVE &  E GARFIELD BLVD,"$71,722.60"
3,Alley Resurfacing Menu (2020),S INDIANA AVE &  E 33RD BLVD&S MICHIGAN AVE &  E 34TH ST,"$37,792.98"
3,Alley Resurfacing Menu (2020),S MICHIGAN AVE &  E CULLERTON ST&S WABASH AVE &  E 21ST ST; 2036 S MICHIGAN AVE,"$21,953.23"
3,Alley Speed Hump Menu (2020),W 52ND ST &  S WELLS ST&S PRINCETON AVE &  W 53RD ST; 5210 S WELLS ST,"$2,100.00"
3,Alley Speed Hump Replacement (2020),4836 S CALUMET AVE,$0.00
3,Alley Speed Hump Replacement (2020),S MICHIGAN AVE &  E CULLERTON ST&S WABASH AVE &  E 21ST ST; 2036 S MICHIGAN AVE,$0.00
3,Concrete Alley Menu (2020),4836 S CALUMET AVE,"$14,244.23"
3,Concrete Alley Menu (2020),E 45TH ST &  S MICHIGAN AVE&S WABASH AVE &  E 46TH ST,"$20,150.08"
3,Curb & Gutter Menu (2020),3700-3714 S CALUMET AVE,"$10,896.74"
3,Installation of Accessible Pedestrian Signals (APS) at S. Dr. Martin Luther King Jr. Dr. & E. 41st ST.,S DR MARTIN LUTHER KING JR DR &  E 41ST ST,"$27,211.00"
3,Miscellaneous CDOT Projects (2020),4246-4250 S WABASH AVE,"$10,000.00"
3,Miscellaneous CDOT Projects (2020),4250 S WABASH AVE,$300.00
3,Miscellaneous CDOT Projects (2020),434-442 E 46TH PL,$300.00
3,Miscellaneous CDOT Projects (2020),445 E 45TH PL,$150.00
3,Miscellaneous CDOT Projects (2020),4600-4614 S VINCENNES AVE,$300.00
3,Miscellaneous CDOT Projects (2020),4758 S SHIELDS AVE,$150.00
3,Miscellaneous CDOT Projects (2020),4826 S PRAIRIE AVE,$150.00
3,Miscellaneous CDOT Projects (2020),5021 S PRAIRIE AVE,$150.00
3,Miscellaneous CDOT Projects (2020),5213 S WABASH AVE; 5221 S WABASH AVE,$33.87
3,Miscellaneous CDOT Projects (2020),5241 S INDIANA AVE,$150.00
3,Miscellaneous CDOT Projects (2020),5305 S CALUMET AVE,$300.00
3,Miscellaneous CDOT Projects (2020),5306-5312 S WELLS ST,$300.00
3,Miscellaneous CDOT Projects (2020),5402 S INDIANA AVE,$150.00
3,Pedestrian Refuge Island Menu (2020),S MICHIGAN AVE &  E 21ST ST,"$44,809.88"
3,Sidewalk Menu (2020),200-250 E 40TH ST,"$34,233.81"
3,Sidewalk Menu (2020),341 W 42ND ST,"$15,801.59"
3,Sidewalk Menu (2020),ON E 29TH ST FROM S STATE ST  (0 E) TO S WABASH AVE  (40 E),"$21,889.70"
3,Sidewalk Menu (2020),ON E 44TH ST FROM S ST LAWRENCE AVE  (600 E) TO S EVANS AVE  (730 E),"$141,755.61"
3,Sidewalk Menu (2020),ON S PRAIRIE AVE FROM E 38TH ST  (3799 S) TO E PERSHING RD  (3900 S),"$3,815.36"
3,Speed Indicator Signs (2020),5422 S WELLS ST,$505.00
3,Street Bump Outs Menu (2020),S INDIANA AVE &  E 44TH ST,"$27,481.26"
3,Street Light Pole Painting Menu (2020),ON E 18TH ST FROM S PRAIRIE AVE  (300 E) TO S CALUMET AVE  (334 E),"$3,800.00"
3,Street Light Upgrade Menu (2020),421 E 41ST ST,$240.24
3,Street Light Upgrade Menu (2020),5134 S MICHIGAN AVE,$500.00
3,Street Resurfacing Menu (1-5) (2020),ON S PLYMOUTH CT FROM W 14TH ST  (1400 S) TO W 13TH ST  (1300 S),"$101,244.92"
3,Street Resurfacing Menu (1-5) (2020),ON S WELLS ST FROM W 45TH ST  (4500 S) TO W 45TH PL  (4530 S),"$31,946.71"
3,Street Resurfacing Menu (1-5) (2020),ON W 27TH ST FROM S FEDERAL ST  (100 W) TO S STATE ST  (0 E),"$72,627.39"
3,Street Resurfacing Menu (2020),1401 S FEDERAL ST,"$5,488.39"
3,Street Resurfacing Menu (2020),3700-3714 S CALUMET AVE,"$49,622.50"
3,Street Resurfacing Menu (2020),ON E 40TH ST FROM S STATE ST  (0 E) TO S PRAIRIE AVE  (300 E),"$67,927.68"
3,Street Resurfacing Menu (2020),ON E 49TH ST FROM S DR MARTIN LUTHER KING JR DR  (380 E) TO S VINCENNES AVE  (499 E),"$43,516.52"
3,Street Resurfacing Menu (2020),ON S FORRESTVILLE AVE FROM E 43RD ST  (4300 S) TO E 44TH ST  (4400 S),"$27,910.56"
3,Street Resurfacing Menu (2020),ON S ST LAWRENCE AVE FROM E 47TH ST  (4700 S) TO E 48TH ST  (4800 S),"$33,959.44"
3,Street Resurfacing Menu (2020),ON S VINCENNES AVE FROM E PERSHING RD  (3900 S) TO E OAKWOOD BLVD  (3946 S),"$17,025.64"
3,Street Resurfacing Menu (2020),ON W 52ND PL FROM 322 W TO S PRINCETON AVE  (300 W),"$24,371.26"
3,Street Resurfacing Menu (2020),ON W 54TH ST FROM S WALLACE ST  (600 W) TO S LOWE AVE  (630 W),"$18,984.55"
3,Street Speed Hump Menu (2020),ON S GILES AVE FROM E 35TH ST  (3500 S) TO E 37TH ST  (3700 S),"$11,750.00"
4,"1 POD Camera, 2 360 POD Cameras: Various Locations",4130 S OAKENWALD AVE; S OAKENWALD AVE &  E 42ND PL; 4101 S OAKENWALD AVE,"$73,446.00"
4,ADA - Alley Resurfacing Menu (2020),E 46TH ST &  S CHAMPLAIN AVE&S EVANS AVE &  E 45TH ST,"$14,490.00"
4,Alley Resurfacing Menu (2020),933 E 50TH ST; E 50TH ST &  S DREXEL BLVD&S ELLIS AVE &  E HYDE PARK BLVD,"$38,065.90"
4,Alley Resurfacing Menu (2020),936 E 47TH ST; E 46TH ST &  S DREXEL BLVD&S ELLIS AVE &  E 47TH ST,"$28,952.63"
