ward,item,location,cost
1,1 POD Camera: Noble & Huron (Split w/ Ward 27),W HURON ST &  N NOBLE ST,"$12,388.00"
1,"2 LPR on Existing Cameras: 1933 N Milwaukee, 1955 N Damen",1933 N MILWAUKEE AVE; 1955 N DAMEN AVE,"$21,942.00"
1,Alley Resurfacing Menu (2021),1513 W GRAND AVE; W GRAND AVE &  N ASHLAND AVE&N ARMOUR ST &  W HUBBARD ST,"$26,064.21"
1,Alley Resurfacing Menu (2021),2346 W ALTGELD ST; W ALTGELD ST &  N WESTERN AVE; 2342-2346 W ALTGELD ST,"$15,244.45"
1,Alley Resurfacing Menu (2021),2524 W MEDILL AVE; W MEDILL AVE &  N CAMPBELL AVE&N MAPLEWOOD AVE &  W FULLERTON AVE,"$38,165.80"
1,Alley Resurfacing Menu (2021),910 N HERMITAGE AVE; W AUGUSTA BLVD &  N WOOD ST&N HERMITAGE AVE &  W WALTON ST,"$35,933.61"
1,Alley Resurfacing Menu (2021),N OAKLEY BLVD &  W IOWA ST&W RICE ST &  N WESTERN AVE; 850 N OAKLEY BLVD,"$65,813.90"
1,Alley Resurfacing Menu (2021),W RACE AVE &  N DAMEN AVE&N WOLCOTT AVE &  W GRAND AVE; 1927 W RACE AVE,"$37,511.84"
1,Alley Speed Hump Replacement (2021),2524 W MEDILL AVE; W MEDILL AVE &  N CAMPBELL AVE&N MAPLEWOOD AVE &  W FULLERTON AVE,$0.00
1,Arterial Street Bump Outs Menu (2021),W DIVISION ST &  N PAULINA ST,"$24,066.39"
1,Bike Lane/Marked Shared Lane Menu (2021),ON W ERIE ST FROM N NOBLE ST  (1400 W) TO N DAMEN AVE  (2000 W),"$45,000.00"
1,Bike Lane/Marked Shared Lane Menu (2021),ON W LYNDALE ST FROM N WESTERN AVE  (2400 W) TO N ROCKWELL ST  (2600 W),"$30,000.00"
1,Curb & Gutter Menu (2021),1219 N WOLCOTT AVE,"$3,527.32"
1,Curb & Gutter Menu (2021),1400 N OAKLEY BLVD,"$63,608.37"
1,Curb & Gutter Menu (2021),1656 W HURON ST,"$26,598.01"
1,Curb & Gutter Menu (2021),1853 N KEDZIE AVE,"$43,251.43"
1,Curb & Gutter Menu (2021),2350 W CHARLESTON ST,"$35,063.29"
1,Curb & Gutter Menu (2021),2839 W FULLERTON AVE,"$13,921.58"
1,Curb & Gutter Menu (2021),ON N MOORMAN ST FROM N HERMITAGE AVE  (1270 N) TO N PAULINA ST  (1300 N),"$12,019.95"
1,Curb & Gutter Menu (2021),ON W LYNDALE ST FROM N WESTERN AVE  (2400 W) TO N ROCKWELL ST  (2600 W),"$16,021.10"
1,"In-Road ""State Law Stop For Pedestrians"" Sign Menu (2021)",N DAMEN AVE &  W HURON ST,"$1,200.00"
1,"In-Road ""State Law Stop For Pedestrians"" Sign Menu (2021)",N DAMEN AVE &  W LE MOYNE ST,$600.00
1,Installation of LED and pedestrian countdown traffic signals at N. California Ave. & W. Armitage Ave.,N CALIFORNIA AVE &  W ARMITAGE AVE,"$53,344.00"
1,LED Traffic Signal Upgrades & Pedestrian Countdown Signal (2021),N HUMBOLDT BLVD &  W PALMER BLVD,"$50,000.00"
1,LED Traffic Signal Upgrades & Pedestrian Countdown Signal (2021),W ARMITAGE AVE &  N KEDZIE AVE,"$50,000.00"
1,Maplewood Park Field House,1640 N MAPLEWOOD AVE,"$324,440.49"
1,Miscellaneous CDOT Projects (2021),2400 S WESTERN AVE,$660.00
1,Sidewalk Menu (2021),1947 N ROCKWELL ST,"$97,271.71"
1,Sidewalk Menu (2021),2656 W CORTLAND ST,"$10,544.01"
1,Sidewalk Menu (2021),529 N HARTLAND CT,"$4,622.65"
1,Sidewalk Menu (2021),N CALIFORNIA AVE &  W MEDILL AVE,"$78,540.60"
1,Sidewalk Menu (2021),W MCLEAN AVE &  N CAMPBELL AVE,"$5,425.27"
1,Street Resurfacing Menu (2021),1500 W WALTON ST,"$53,111.55"
1,Street Resurfacing Menu (2021),1750 W DIVISION ST,"$20,349.41"
1,Street Resurfacing Menu (2021),ON N OAKLEY AVE FROM W THOMAS ST  (1100 N) TO W HADDON AVE  (1130 N),"$36,741.96"
1,Street Resurfacing Menu (2021),ON N WOOD ST FROM 1320 N TO N MILWAUKEE AVE  (1400 N),"$12,382.97"
1,Street Resurfacing Menu (2021),ON N WOOD ST FROM N ELK GROVE AVE  (1500 N) TO W JULIAN ST  (1440 N),"$7,669.70"
1,Street Resurfacing Menu (2021),ON W LYNDALE ST FROM N WESTERN AVE  (2400 W) TO N ROCKWELL ST  (2600 W),"$124,604.42"
